"variable","X1"
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"GenderMale",0
"YearsSinceLastPromotion",0
"X.Intercept.",-1.22328780755137
"X.Intercept..1",0
"GenderMale",0.0388433020092401
"YearsWithCurrManager",-0.120223203919608
"X.Intercept.",-1.18919803719695
"X.Intercept..1",0
"GenderMale",0.0235293126950322
"EnvironmentSatisfaction",-0.177079069177084
"X.Intercept.",-1.30167065350425
"X.Intercept..1",0
"GenderMale",0.0288935519898372
"JobSatisfaction",-0.135404119696091
"X.Intercept.",-1.21354596482631
"X.Intercept..1",0
"GenderMale",0.0130282881545914
"WorkLifeBalance",-0.162059875831073
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"GenderMale",0
"JobInvolvement",0
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"GenderMale",0
"PerformanceRating",0
"X.Intercept.",-4.343681306812
"X.Intercept..1",0
"GenderMale",0.0172665806161248
"Avg_Daily_Hours",0.339468995485985
"X.Intercept.",-4.19085960282802
"X.Intercept..1",0
"GenderMale",0.0143062963115476
"Avg_Weekly_Hours",0.0704454135106527
"X.Intercept.",-1.55943905688061
"X.Intercept..1",0
"GenderMale",0.022614381244673
"Days_off",-0.00803295913000042
"X.Intercept.",-1.6273595914397
"X.Intercept..1",0
"JobLevel",0
"JobRoleHuman.Resources",0
"JobRoleLaboratory.Technician",0
"JobRoleManager",-0.0847212390706083
"JobRoleManufacturing.Director",-0.215426053024893
"JobRoleResearch.Director",0.104209795578294
"JobRoleResearch.Scientist",0
"JobRoleSales.Executive",0
"JobRoleSales.Representative",0
"X.Intercept.",-1.94689820071184
"X.Intercept..1",0
"JobLevel",0
"MaritalStatusMarried",0
"MaritalStatusSingle",0.791769772186992
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"JobLevel",0
"MonthlyIncome",0
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"JobLevel",0
"NumCompaniesWorked",0
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"JobLevel",0
"PercentSalaryHike",0
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"JobLevel",0
"StockOptionLevel",0
"X.Intercept.",-0.962989272917044
"X.Intercept..1",0
"JobLevel",0
"TotalWorkingYears",-0.0680668079854379
"X.Intercept.",-1.51704968649235
"X.Intercept..1",0
"JobLevel",0
"TrainingTimesLastYear",-0.0469974744273051
"X.Intercept.",-1.26575649356635
"X.Intercept..1",0
